dt;zid;customers_cnt_home;customers_cnt_job;customers_cnt_day;customers_cnt_move
2018.02.28;116;9;67;65;55
2018.02.28;117;52;37;21;70
2018.02.28;118;99;17;45;0
2018.02.28;119;10;86;74;97
2018.02.28;120;21;92;27;93
2018.02.28;121;73;68;49;29
2018.02.28;122;12;71;56;25
2018.02.28;123;9;8;70;1
2018.02.28;124;94;36;46;71
2018.02.28;125;41;82;87;62
2018.02.28;126;27;99;36;71
2018.02.28;127;97;54;15;60
2018.02.28;128;93;72;2;28
2018.02.28;129;33;54;99;14
2018.02.28;130;25;100;9;67
2018.02.28;131;7;45;26;84
2018.02.28;132;0;83;43;58
2018.02.28;133;23;66;50;1
2018.02.28;134;8;33;21;69
2018.02.28;135;13;76;62;34
2018.02.28;136;83;16;67;63
2018.02.28;137;85;27;9;33
2018.02.28;138;89;55;47;8
2018.02.28;139;68;39;91;72
2018.02.28;140;79;20;29;74
2018.02.28;141;72;88;15;73
2018.02.28;142;16;41;29;78
2018.02.28;143;5;91;64;10
2018.02.28;144;31;97;51;11
2018.02.28;145;77;95;57;43
2018.02.28;146;35;71;29;95
2018.02.28;147;16;53;100;92
2018.02.28;148;37;49;33;60
2018.02.28;149;57;99;65;70
2018.02.28;150;34;27;42;20
2018.02.28;151;9;7;63;78
2018.02.28;152;30;51;3;27
2018.02.28;153;47;49;20;10
2018.02.28;154;90;79;82;53
2018.02.28;155;79;5;16;2
2018.02.28;156;100;81;31;77
2018.02.28;157;72;17;66;15
2018.02.28;158;45;70;67;73
2018.02.28;159;33;68;73;69
2018.02.28;160;90;14;21;67
2018.02.28;161;63;51;38;89
2018.02.28;162;89;38;52;3
2018.02.28;163;53;86;74;83
2018.02.28;164;96;61;84;92
2018.02.28;165;83;14;44;71
2018.02.28;166;23;7;2;53
2018.02.28;167;21;43;49;60
2018.02.28;168;36;33;51;36
2018.02.28;169;90;41;2;94
2018.02.28;170;70;8;74;67
2018.02.28;171;67;27;29;0
2018.02.28;172;7;93;96;10
2018.02.28;173;71;67;45;83
2018.02.28;174;75;63;25;35
2018.02.28;175;79;90;95;39
2018.02.28;176;52;85;58;4
2018.02.28;177;33;87;100;74
2018.02.28;178;52;40;91;52
2018.02.28;179;82;20;79;75
2018.02.28;180;81;7;22;3
2018.02.28;181;5;18;42;41
2018.02.28;182;74;61;27;75
2018.02.28;183;5;67;12;51
2018.02.28;184;17;92;89;83
2018.02.28;185;11;25;32;43
2018.02.28;186;100;27;5;22
2018.02.28;187;16;90;95;46
2018.02.28;188;79;10;27;3
2018.02.28;189;88;18;84;36
2018.02.28;190;50;3;52;9
2018.02.28;191;25;23;0;96
2018.02.28;192;73;17;48;6
2018.02.28;193;10;40;63;73
2018.02.28;194;75;25;86;62
2018.02.28;195;25;89;19;14
2018.02.28;196;56;31;55;90
2018.02.28;197;68;20;30;1
2018.02.28;198;57;39;91;53
2018.02.28;199;17;49;0;0
2018.02.28;200;98;66;70;9
2018.02.28;201;66;52;38;43
2018.02.28;202;62;68;40;20
2018.02.28;203;36;8;21;85
2018.02.28;204;35;19;38;83
2018.02.28;205;1;62;92;91
2018.02.28;206;23;8;73;7
2018.02.28;207;89;7;91;16
2018.02.28;208;68;92;9;91
2018.02.28;209;3;85;44;10
2018.02.28;210;21;64;92;97
2018.02.28;211;98;87;90;20
2018.02.28;212;91;93;45;15
2018.02.28;213;11;42;18;52
2018.02.28;214;7;39;25;32
2018.02.28;215;27;35;74;24
2018.02.28;216;59;71;93;55
2018.02.28;217;40;27;53;23
2018.02.28;218;1;46;43;76
2018.02.28;219;63;10;79;71
2018.02.28;220;28;30;93;4
2018.02.28;221;22;33;13;25
2018.02.28;222;34;56;57;86
2018.02.28;223;0;0;41;11
2018.02.28;224;84;70;83;23
2018.02.28;225;55;34;37;83
2018.02.28;226;48;75;28;7
2018.02.28;227;88;86;77;33
2018.02.28;228;98;28;33;37
2018.02.28;229;40;70;66;8
2018.02.28;230;81;19;37;83
2018.02.28;231;95;64;42;47
2018.02.28;233;18;22;77;14
2018.02.28;234;79;40;91;35
2018.02.28;235;75;0;87;99
2018.02.28;236;4;45;85;46
2018.02.28;237;27;11;10;63
2018.02.28;238;5;53;10;20
2018.02.28;239;90;83;38;70
2018.02.28;240;12;23;36;75
2018.02.28;241;20;53;53;80
2018.02.28;242;2;2;63;41
2018.02.28;243;19;55;71;12
2018.02.28;244;41;14;52;11
2018.02.28;245;43;31;96;63
2018.02.28;246;81;47;54;49
2018.02.28;247;10;69;90;10
2018.02.28;248;25;70;83;85
2018.02.28;249;88;48;48;30
2018.02.28;250;6;93;33;20
2018.02.28;251;20;48;8;17
2018.02.28;252;20;33;63;82
2018.02.28;253;12;33;60;31
2018.02.28;254;100;44;41;20
2018.02.28;255;39;53;60;35
2018.02.28;256;13;68;8;18
2018.02.28;257;41;5;37;69
2018.02.28;258;21;89;25;49
2018.02.28;259;87;66;34;95
2018.02.28;260;57;11;24;60
2018.02.28;261;13;83;86;90
2018.02.28;262;76;83;97;74
2018.02.28;263;23;54;53;9
2018.02.28;264;35;17;49;69
2018.02.28;265;37;40;42;12
2018.02.28;266;20;88;29;44
2018.02.28;267;4;50;89;60
2018.02.28;268;97;39;77;60
2018.02.28;269;89;29;28;67
2018.02.28;270;65;97;95;81
2018.02.28;271;37;27;58;81
2018.02.28;272;29;42;94;79
2018.02.28;273;86;0;82;6
2018.02.28;274;45;99;86;72
2018.02.28;275;14;88;100;88
2018.02.28;276;62;2;41;62
2018.02.28;277;53;45;12;42
2018.02.28;278;87;42;9;21
2018.02.28;279;61;11;12;97
2018.02.28;280;15;30;11;7
2018.02.28;281;26;51;41;69
2018.02.28;282;40;84;19;2
2018.02.28;283;20;25;65;38
2018.02.28;284;24;72;67;19
2018.02.28;285;95;46;11;5
2018.02.28;286;4;20;68;4
2018.02.28;287;62;74;61;64
2018.02.28;288;43;46;79;83
2018.02.28;289;9;39;22;6
2018.02.28;290;58;56;19;18
2018.02.28;291;47;63;17;16
2018.02.28;292;45;30;1;65
2018.02.28;293;63;61;90;93
2018.02.28;294;37;91;7;4
2018.02.28;295;60;49;87;23
2018.02.28;296;13;25;41;40
2018.02.28;297;36;21;39;97
2018.02.28;298;64;65;6;88
2018.02.28;299;15;64;62;20
2018.02.28;300;43;26;36;20
2018.02.28;301;90;98;99;13
2018.02.28;302;13;84;84;90
2018.02.28;303;16;10;97;12
2018.02.28;304;34;46;2;90
2018.02.28;305;28;4;90;29
2018.02.28;306;22;12;88;80
2018.02.28;307;82;9;15;42
2018.02.28;308;1;84;13;0
2018.02.28;309;66;80;91;93
2018.02.28;310;53;12;51;66
2018.02.28;311;25;64;61;50
2018.02.28;312;85;25;88;50
2018.02.28;313;93;39;34;2
2018.02.28;314;1;92;13;54
2018.02.28;315;84;44;15;32
2018.02.28;316;49;4;50;47
2018.02.28;317;68;12;39;97
2018.02.28;318;54;57;40;77
2018.02.28;319;25;49;53;56
2018.02.28;320;66;47;34;80
2018.02.28;321;21;69;27;29
2018.02.28;322;13;77;23;95
2018.02.28;323;86;63;48;79
2018.02.28;324;34;74;38;3
2018.02.28;325;88;2;24;90
2018.02.28;326;80;44;23;77
2018.02.28;327;36;60;31;41
2018.02.28;328;41;52;26;11
2018.02.28;329;26;73;66;45
2018.02.28;330;0;59;69;55
2018.02.28;331;12;36;67;52
2018.02.28;332;86;94;24;69
2018.02.28;333;49;82;79;22
2018.02.28;334;86;83;20;65
2018.02.28;335;36;75;81;41
2018.02.28;336;57;17;15;39
2018.02.28;337;85;5;46;21
2018.02.28;338;63;55;88;12
2018.02.28;339;96;68;23;14
2018.02.28;340;17;78;8;1
2018.02.28;341;1;68;4;99
2018.02.28;342;42;80;90;38
2018.02.28;343;36;83;43;92
2018.02.28;344;49;87;21;84
2018.02.28;345;16;99;26;83
2018.02.28;346;23;59;38;20
2018.02.28;347;43;66;43;48
2018.02.28;348;28;46;85;96
2018.02.28;349;9;31;25;72
2018.02.28;350;76;59;38;48
2018.02.28;351;74;24;47;56
2018.02.28;352;28;56;92;57
2018.02.28;353;34;11;35;61
2018.02.28;354;53;55;8;81
2018.02.28;355;38;91;64;29
2018.02.28;356;56;89;41;80
2018.02.28;357;23;23;55;34
2018.02.28;358;67;61;95;1
2018.02.28;359;25;6;42;94
2018.02.28;360;10;33;25;28
2018.02.28;361;96;70;13;60
2018.02.28;362;49;17;52;99
2018.02.28;363;89;31;39;4
2018.02.28;364;66;31;61;100
2018.02.28;365;42;80;42;25
2018.02.28;366;5;79;94;100
2018.02.28;367;32;14;70;63
2018.02.28;368;83;2;30;34
2018.02.28;369;54;78;24;76
2018.02.28;370;9;34;38;71
2018.02.28;371;88;95;77;74
2018.02.28;372;95;40;2;26
2018.02.28;373;96;83;51;9
2018.02.28;374;27;12;39;10
2018.02.28;375;99;78;11;98
2018.02.28;376;59;76;32;55
2018.02.28;377;8;57;8;90
2018.02.28;378;9;13;64;71
2018.02.28;379;69;0;27;97
2018.02.28;380;38;65;10;67
2018.02.28;381;58;84;66;66
2018.02.28;382;94;81;0;63
2018.02.28;383;86;82;11;61
2018.02.28;384;24;51;84;30
2018.02.28;385;82;18;98;67
2018.02.28;386;42;16;31;41
2018.02.28;387;68;62;73;34
2018.02.28;388;85;88;94;0
2018.02.28;389;55;96;78;60
2018.02.28;390;55;77;73;81
2018.02.28;391;37;16;85;10
2018.02.28;392;99;28;42;97
2018.02.28;393;90;67;61;33
2018.02.28;394;86;4;87;43
2018.02.28;395;87;94;25;34
2018.02.28;396;43;85;68;20
2018.02.28;397;1;70;33;69
2018.02.28;398;65;50;56;41
2018.02.28;399;13;6;16;96
2018.02.28;400;44;72;80;63
2018.02.28;401;25;94;48;30
2018.02.28;402;40;32;25;96
2018.02.28;403;75;20;19;15
2018.02.28;404;76;96;25;40
2018.02.28;405;9;98;13;13
2018.02.28;406;69;61;20;75
2018.02.28;407;91;48;68;85
2018.02.28;408;17;96;66;1
2018.02.28;409;49;29;4;34
2018.02.28;410;12;55;71;26
2018.02.28;411;1;5;39;10
2018.02.28;412;27;54;100;1
2018.02.28;413;89;8;28;60
2018.02.28;414;71;34;43;86
2018.02.28;415;64;18;6;35
2018.02.28;416;28;26;41;58
2018.02.28;417;13;24;1;39
2018.02.28;418;19;77;85;44
2018.02.28;419;54;85;19;99
2018.02.28;420;80;78;50;76
2018.02.28;421;81;84;44;53
2018.02.28;422;37;74;43;81
2018.02.28;423;99;9;43;37
2018.02.28;424;10;66;46;43
2018.02.28;425;46;80;23;5
2018.02.28;426;19;10;36;36
2018.02.28;427;77;79;72;24
2018.02.28;428;73;61;87;82
2018.02.28;429;87;19;91;97
2018.02.28;430;68;96;73;59
2018.02.28;431;73;51;76;36
2018.02.28;432;6;20;51;16
2018.02.28;433;73;17;11;91
2018.02.28;434;52;98;5;30
2018.02.28;435;59;1;70;20
2018.02.28;436;46;82;75;9
2018.02.28;437;21;74;63;52
2018.02.28;438;80;31;7;24
2018.02.28;439;22;94;3;47
2018.02.28;440;44;0;19;62
2018.02.28;441;61;96;13;35
2018.02.28;442;54;18;45;25
2018.02.28;443;42;33;55;27
2018.02.28;444;75;97;25;58
2018.02.28;445;41;51;79;30
2018.02.28;446;13;99;39;67
2018.02.28;447;51;60;19;7
2018.02.28;448;85;24;70;5
2018.02.28;449;81;90;62;13
2018.02.28;450;84;86;5;89
2018.02.28;451;1;63;6;3
2018.02.28;452;61;34;41;80
2018.02.28;453;96;73;21;44
2018.02.28;454;16;96;11;4
2018.02.28;455;79;57;69;87
2018.02.28;456;14;32;92;74
2018.02.28;457;21;3;25;38
2018.02.28;458;92;73;48;29
2018.02.28;459;37;79;13;23
2018.02.28;460;26;68;50;59
2018.02.28;461;45;5;84;34
2018.02.28;462;97;73;1;47
2018.02.28;463;40;48;68;22
2018.02.28;464;29;17;85;35
2018.02.28;465;9;68;0;51
2018.02.28;466;6;65;44;83
2018.02.28;467;96;48;16;97
2018.02.28;468;48;45;17;17
2018.02.28;469;47;43;20;25
2018.02.28;470;85;88;85;27
2018.02.28;471;58;40;13;10
2018.02.28;472;24;64;63;51
2018.02.28;473;76;20;38;4
2018.02.28;474;85;79;25;15
2018.02.28;475;9;48;77;20
2018.02.28;476;81;68;91;78
2018.02.28;477;13;32;29;24
2018.02.28;478;62;99;21;29
2018.02.28;479;64;80;64;96
2018.02.28;480;1;100;16;45
2018.02.28;481;32;75;18;90
2018.02.28;482;22;92;42;86
2018.02.28;483;100;82;36;72
2018.02.28;484;33;97;66;54
2018.02.28;485;73;6;47;33
2018.02.28;486;12;50;31;13
2018.02.28;487;29;0;33;82
2018.02.28;488;23;14;91;90
2018.02.28;489;69;57;51;81
2018.02.28;490;57;14;16;91
2018.02.28;491;33;61;65;81
2018.02.28;492;61;5;83;93
2018.02.28;493;62;80;27;79
2018.02.28;494;89;10;68;67
2018.02.28;495;90;58;29;73
2018.02.28;496;55;0;91;35
2018.02.28;497;50;17;51;41
2018.02.28;498;25;33;40;12
2018.02.28;499;58;12;67;8
2018.02.28;500;27;46;58;83
2018.02.28;501;85;51;20;2
2018.02.28;502;47;33;63;18
2018.02.28;503;64;33;37;32
2018.02.28;504;53;92;63;13
2018.02.28;505;61;13;6;38
2018.02.28;506;33;76;62;10
2018.02.28;507;19;1;86;5
2018.02.28;508;70;43;63;74
2018.02.28;509;32;13;31;83
2018.02.28;510;24;87;7;60
2018.02.28;511;41;59;64;89
2018.02.28;512;27;54;75;33
2018.02.28;513;85;86;81;16
2018.02.28;514;32;4;21;36
2018.02.28;515;77;55;44;59
2018.02.28;516;28;45;41;100
2018.02.28;517;17;1;54;9
2018.02.28;518;52;70;99;25
2018.02.28;519;18;11;18;70
2018.02.28;520;58;61;0;88
2018.02.28;521;31;100;40;10
2018.02.28;522;23;71;67;73
2018.02.28;523;13;14;92;61
2018.02.28;524;58;50;36;52
2018.02.28;525;56;62;2;57
2018.02.28;526;77;76;7;90
2018.02.28;527;23;85;16;73
2018.02.28;528;36;59;60;36
2018.02.28;529;89;77;18;52
2018.02.28;530;62;45;5;90
2018.02.28;531;20;98;85;62
2018.02.28;532;14;99;31;91
2018.02.28;533;92;69;97;12
2018.02.28;534;6;21;67;44
2018.02.28;535;95;33;51;31
2018.02.28;536;96;39;22;35
2018.02.28;537;21;5;96;6
2018.02.28;538;33;3;90;14
2018.02.28;539;86;2;39;80
2018.02.28;540;25;5;42;84
2018.02.28;541;39;2;0;19
2018.02.28;542;85;96;42;51
2018.02.28;543;99;5;92;92
2018.02.28;544;85;45;43;49
2018.02.28;545;0;51;34;34
2018.02.28;546;1;59;94;18
2018.02.28;547;18;55;80;38
2018.02.28;548;63;56;31;38
2018.02.28;549;57;8;62;30
2018.02.28;550;74;79;23;52
2018.02.28;551;77;66;82;66
2018.02.28;552;77;82;33;68
2018.02.28;553;78;39;46;59
2018.02.28;554;3;79;11;0
2018.02.28;555;20;36;22;5
2018.02.28;556;20;29;7;43
2018.02.28;557;56;26;70;5
2018.02.28;558;49;18;61;31
2018.02.28;559;38;23;28;66
2018.02.28;560;45;37;2;47
2018.02.28;561;3;65;36;70
2018.02.28;562;70;19;46;22
2018.02.28;563;83;33;17;47
2018.02.28;564;29;28;45;58
2018.02.28;565;9;47;53;37
2018.02.28;566;82;79;14;26
2018.02.28;567;8;15;60;81
2018.02.28;568;84;99;49;36
2018.02.28;569;43;100;77;7
2018.02.28;570;81;50;67;54
2018.02.28;571;45;74;63;93
2018.02.28;572;30;62;88;89
2018.02.28;573;11;70;33;49
2018.02.28;574;36;0;12;98
2018.02.28;575;43;71;69;62
2018.02.28;576;70;19;94;19
2018.02.28;577;11;71;20;75
2018.02.28;578;60;41;10;97
2018.02.28;579;39;73;94;13
2018.02.28;580;54;45;61;17
2018.02.28;581;0;43;54;14
2018.02.28;582;13;89;48;91
2018.02.28;583;21;45;80;44
2018.02.28;584;20;91;14;22
2018.02.28;585;19;41;99;60
2018.02.28;586;86;3;9;18
2018.02.28;587;60;41;21;57
2018.02.28;588;93;30;34;18
2018.02.28;589;59;9;89;33
2018.02.28;590;50;63;38;35
2018.02.28;591;96;17;16;24
2018.02.28;592;98;92;5;76
2018.02.28;593;4;47;65;44
2018.02.28;594;30;9;11;55
2018.02.28;595;55;86;17;4
2018.02.28;596;62;65;81;75
2018.02.28;597;59;55;7;37
2018.02.28;598;56;72;71;91
2018.02.28;599;0;48;70;24
2018.02.28;600;18;13;2;24
2018.02.28;601;85;63;2;42
2018.02.28;602;23;66;91;61
2018.02.28;603;11;29;95;81
2018.02.28;604;15;55;64;67
2018.02.28;605;56;81;72;25
2018.02.28;606;45;89;22;44
2018.02.28;607;8;97;51;87
2018.02.28;608;74;33;78;36
2018.02.28;609;48;87;51;91
2018.02.28;610;45;78;52;13
2018.02.28;611;56;91;70;21
2018.02.28;612;68;41;76;42
2018.02.28;613;68;11;18;18
2018.02.28;614;17;99;12;53
2018.02.28;615;74;23;77;33
2018.02.28;616;11;29;16;1
2018.02.28;617;44;13;78;76
2018.02.28;618;15;20;76;96
2018.02.28;619;16;93;1;42
2018.02.28;620;60;45;59;84
2018.02.28;621;50;16;52;74
2018.02.28;622;61;62;77;85
2018.02.28;623;83;65;76;0
2018.02.28;624;39;22;8;45
2018.02.28;625;3;7;53;67
2018.02.28;626;64;9;52;11
2018.02.28;627;87;28;69;26
2018.02.28;628;52;100;69;57
2018.02.28;629;38;46;34;39
2018.02.28;630;21;83;34;87
2018.02.28;631;55;55;0;1
2018.02.28;632;96;21;51;3
2018.02.28;633;95;34;20;32
2018.02.28;634;26;64;58;80
2018.02.28;635;16;95;46;98
2018.02.28;636;15;45;28;98
2018.02.28;637;97;86;6;46
2018.02.28;638;86;80;45;82
2018.02.28;639;58;7;71;74
2018.02.28;640;62;10;56;97
2018.02.28;641;32;81;72;18
2018.02.28;642;1;7;0;90
2018.02.28;643;63;82;41;33
2018.02.28;644;52;81;98;84
2018.02.28;645;3;2;83;73
2018.02.28;646;50;39;63;4
2018.02.28;647;77;37;65;92
2018.02.28;648;72;33;25;22
2018.02.28;649;98;38;61;6
2018.02.28;650;5;63;89;87
2018.02.28;651;77;14;52;100
2018.02.28;652;65;11;88;5
2018.02.28;653;55;85;5;14
2018.02.28;654;51;25;5;76
2018.02.28;655;8;47;33;4
2018.02.28;656;56;15;29;89
2018.02.28;657;83;4;48;85
2018.02.28;658;21;42;61;40
2018.02.28;659;5;14;12;52
2018.02.28;660;49;66;26;96
2018.02.28;661;7;80;50;65
2018.02.28;662;48;36;68;28
2018.02.28;663;22;46;63;4
2018.02.28;664;5;43;72;31
2018.02.28;665;5;46;35;94
2018.02.28;666;20;92;14;42
2018.02.28;667;92;81;35;7
2018.02.28;668;16;63;96;78
2018.02.28;669;58;65;0;98
2018.02.28;670;67;66;12;10
2018.02.28;671;31;5;44;31
2018.02.28;672;18;33;68;88
2018.02.28;673;92;88;35;8
2018.02.28;674;56;55;94;6
2018.02.28;675;16;59;75;17
2018.02.28;676;48;75;2;86
2018.02.28;677;54;88;37;42
2018.02.28;678;47;8;73;23
2018.02.28;679;38;49;87;76
2018.02.28;680;11;91;44;29
2018.02.28;681;99;4;48;89
2018.02.28;682;30;58;37;87
2018.02.28;683;13;73;74;70
2018.02.28;684;14;26;30;8
2018.02.28;685;11;81;76;58
2018.02.28;686;36;61;98;1
2018.02.28;687;4;86;19;19
2018.02.28;688;37;7;14;79
2018.02.28;689;87;18;59;76
2018.02.28;690;91;96;41;59
2018.02.28;691;100;13;85;0
2018.02.28;692;11;92;75;65
2018.02.28;693;36;27;5;11
2018.02.28;694;12;78;9;80
2018.02.28;695;64;42;18;68
2018.02.28;696;21;70;15;6
2018.02.28;697;43;85;91;47
2018.02.28;698;80;20;70;49
2018.02.28;699;26;90;99;32
2018.02.28;700;73;78;39;32
2018.02.28;701;45;85;87;60
2018.02.28;702;81;79;42;54
2018.02.28;703;56;50;23;61
2018.02.28;704;65;2;47;11
2018.02.28;705;89;26;78;10
2018.02.28;706;54;2;18;41
2018.02.28;707;64;64;2;10
2018.02.28;708;74;89;20;86
2018.02.28;709;86;26;86;3
2018.02.28;710;34;98;83;21
2018.02.28;711;7;16;7;69
2018.02.28;712;5;94;48;8
2018.02.28;713;15;68;20;27
2018.02.28;714;41;27;36;70
2018.02.28;715;41;94;81;20
2018.02.28;716;94;10;20;29
2018.02.28;717;47;95;26;85
2018.02.28;718;65;9;31;67
2018.02.28;719;67;36;13;91
2018.02.28;720;74;83;58;87
2018.02.28;721;51;29;64;24
2018.02.28;722;32;98;52;78
2018.02.28;723;5;83;7;76
2018.02.28;724;30;12;36;55
2018.02.28;725;11;66;61;25
2018.02.28;726;80;72;15;93
2018.02.28;727;72;48;33;48
2018.02.28;728;19;54;84;75
2018.02.28;729;92;25;11;39
2018.02.28;730;68;87;41;69
2018.02.28;731;29;61;62;13
2018.02.28;732;17;39;22;87
2018.02.28;733;56;46;33;85
2018.02.28;734;16;43;73;96
2018.02.28;735;78;31;83;56
2018.02.28;736;70;66;75;41
2018.02.28;737;98;21;64;34
2018.02.28;738;69;43;0;25
2018.02.28;739;10;73;24;81
2018.02.28;740;83;67;58;25
2018.02.28;741;39;35;79;14
2018.02.28;742;71;35;10;65
2018.02.28;743;7;36;76;73
2018.02.28;744;12;98;16;41
2018.02.28;745;31;8;9;53
2018.02.28;746;73;23;99;12
2018.02.28;747;13;69;12;46
2018.02.28;748;12;30;42;28
2018.02.28;749;40;71;70;18
2018.02.28;750;7;40;65;55
2018.02.28;751;64;22;80;85
2018.02.28;752;68;75;8;29
2018.02.28;753;53;59;12;66
2018.02.28;754;45;17;97;30
2018.02.28;755;40;68;57;32
2018.02.28;756;55;15;70;55
2018.02.28;757;69;82;31;97
2018.02.28;758;4;61;76;43
2018.02.28;759;50;46;86;48
2018.02.28;760;82;63;17;56
2018.02.28;761;62;56;85;30
2018.02.28;762;25;8;10;16
2018.02.28;763;60;38;10;13
2018.02.28;764;62;41;86;96
2018.02.28;765;19;63;81;73
2018.02.28;766;16;20;27;81
2018.02.28;767;10;47;23;59
2018.02.28;768;31;41;71;31
2018.02.28;769;80;50;33;35
2018.02.28;770;42;37;18;6
2018.02.28;771;36;17;8;55
2018.02.28;772;60;29;11;92
2018.02.28;773;6;20;72;72
2018.02.28;774;48;46;94;81
2018.02.28;775;17;76;82;11
2018.02.28;776;46;51;62;55
2018.02.28;777;14;85;41;64
2018.02.28;778;73;78;93;87
2018.02.28;779;98;70;23;41
2018.02.28;780;8;66;10;63
2018.02.28;781;33;42;25;30
2018.02.28;782;43;31;11;58
2018.02.28;783;81;11;16;100
2018.02.28;784;86;43;47;37
2018.02.28;785;95;85;29;20
2018.02.28;786;9;33;76;0
2018.02.28;787;63;31;69;61
2018.02.28;788;72;88;27;62
2018.02.28;789;55;20;64;31
2018.02.28;790;88;91;5;83
2018.02.28;791;38;30;65;78
2018.02.28;792;8;73;0;82
2018.02.28;793;86;72;67;79
2018.02.28;794;54;23;53;99
2018.02.28;795;35;85;61;8
2018.02.28;796;69;45;22;30
2018.02.28;797;61;57;42;63
2018.02.28;798;42;42;70;10
2018.02.28;799;15;80;100;38
2018.02.28;800;63;51;87;55
2018.02.28;801;52;5;68;31
2018.02.28;802;26;43;55;28
2018.02.28;803;96;78;44;93
2018.02.28;804;56;47;2;62
2018.02.28;805;8;60;56;46
2018.02.28;806;83;19;22;41
2018.02.28;807;54;35;20;72
2018.02.28;808;94;32;35;99
2018.02.28;809;45;23;61;1
2018.02.28;810;6;46;75;65
2018.02.28;811;99;20;15;2
2018.02.28;812;83;46;84;70
2018.02.28;813;40;21;86;60
2018.02.28;814;72;98;43;85
2018.02.28;815;93;98;74;18
2018.02.28;816;4;90;67;30
2018.02.28;817;30;49;83;35
2018.02.28;818;45;100;59;59
2018.02.28;819;26;63;21;63
